Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
Flat (1.85:1),,"Peter Lord,    Nick Park","animation,comedy,kids and family,adventure",English,,"Allied Filmmakers,DreamWorks Pictures,Aardman Animations,Pathé Pictures",G,"Nov 25, 2015","Jun 21, 2000
 wide",1h 25m,"Dolby EX, SDDS, DTS, Surround",Chicken Run,,Karey Kirkpatrick,https://www.rottentomatoes.com/m/chicken_run
Scope (2.35:1),$635.3K,Agnès Jaoui,comedy,French (France),Charles Gassot,"Le Studio Canal +,Les Films A4,France 2 Cinema",R,"Feb 26, 2002",,1h 52m,"Dolby Stereo, Dolby Digital, Dolby A, DTS, Dolby SR",The Taste of Others,,,https://www.rottentomatoes.com/m/the_taste_of_others
Scope (2.35:1),$25.5M,Christopher Nolan,mystery and thriller,English,Jennifer Todd,"Team Todd,I Remember Productions, Llc,Newmarket Capital Group",R (Language|Drug Content|Violence),"Mar 1, 2017",,1h 56m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Memento,,,https://www.rottentomatoes.com/m/memento
Flat (1.85:1),$124.1M,Steven Soderbergh,"drama,crime",English,"Laura Bickford,    Marshall Herskovitz","Compulsion Inc.,Bedford Falls Productions,USA Films,Initial Entertainment Group",R (Some Sexuality|Pervasive Drug Content|Strong Language|Violence),"Sep 10, 2015","Jan 5, 2001
 wide",2h 27m,"Dolby SR, DTS, SDDS, Surround, Dolby A, Dolby Digital",Traffic,,"Simon Moore,    Stephen Gaghan",https://www.rottentomatoes.com/m/1103281-traffic
,$1.7M,Aviva Kempner,"documentary,biography",English,Aviva Kempner,Ciesla Foundation,PG (Mild Language|Thematic Elements),"Jan 8, 2017","Jul 2, 1999
 wide",1h 29m,,The Life and Times of Hank Greenberg,,,https://www.rottentomatoes.com/m/the_life_and_times_of_hank_greenberg
,$969.1K,Edward Yang,drama,Chinese,,"Nemuru Otoko Seisaku Iinkai,Omega Project,AtomFilms,Pony Canyon Inc.",,"May 8, 2001",,2h 53m,"Surround, Dolby SR, Dolby Digital",A One and a Two...,,,https://www.rottentomatoes.com/m/yi_yi
Flat (1.85:1),$9.2M,Kenneth Lonergan,drama,English,"Barbara De Fina,    John Hart,    Larry Meistrich,    Jeff Sharp","Crush Entertainment,Shooting Gallery,Cappa Productions,Hart Sharp Productions",R (Scene of Sexuality|Language|Some Drug Use),"Aug 1, 2013","Nov 10, 2000
 wide",1h 49m,"Dolby SR, Dolby Digital, Dolby EX",You Can Count on Me,,,https://www.rottentomatoes.com/m/you_can_count_on_me
Flat (1.85:1),$18.6M,Christopher Guest,comedy,English,Karen Murphy,Castle Rock Entertainment,PG-13,"Apr 3, 2008","Sep 29, 2000
 wide",1h 30m,"SDDS, Dolby Digital, DTS, Surround, Dolby SR",Best in Show,,,https://www.rottentomatoes.com/m/best_in_show
,$6.2M,Mike Hodges,mystery and thriller,English,"Jonathan Cavendish,    Christine Ruppert",Little Bird,,"Oct 28, 2020","Apr 21, 1998
 wide",1h 31m,"Surround, Dolby Stereo",Croupier,,,https://www.rottentomatoes.com/m/croupier
Flat (1.85:1),$27.3M,Stephen Frears,romance,English,Tim Bevan,"Touchstone Pictures,New Crime Productions,Dogstar Films",R (Some Sexuality|Language),"Sep 23, 2016","Mar 31, 2000
 wide",1h 53m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",High Fidelity,,"D.V. DeVincentis,    Steve Pink,    John Cusack,    Scott Rosenberg",https://www.rottentomatoes.com/m/1095420-high_fidelity
,$589.1K,Yimou Zhang,drama,Chinese,Yu Zhao,"Film Productions Asia,Guangxi Film Studios,Beijing New Picture Film Co.,Columbia Pictures Corporation",G,"Jan 27, 2015",,1h 46m,"Surround, Dolby SR",Not One Less,,,https://www.rottentomatoes.com/m/not_one_less
Flat (1.66:1),$436.8K,Marc Singer,documentary,English,Marc Singer,Picture Farm,,"Dec 4, 2015",,1h 34m,"Dolby SR, Dolby Digital, Surround",Dark Days,,,https://www.rottentomatoes.com/m/dark_days
Flat (1.85:1),$606.6K,Julien Temple,documentary,English,"Anita Camarata,    Amanda Temple","Sex Pistols Residuals,Channel 4 Television Corporation,Nitrate Film,Jersey Shore",R (Strong Language|Sexual Content|Drug Use),"Nov 30, 2016","Mar 29, 2000
 wide",1h 48m,"Surround, Dolby SR",The Filth and the Fury,,,https://www.rottentomatoes.com/m/filth_and_the_fury
Flat (1.85:1),$32.5M,Cameron Crowe,"drama,music,comedy",English,"Ian Bryce,    Cameron Crowe","DreamWorks Pictures,Vinyl Films",R (Drug Content|Brief Nudity|Language),"Aug 1, 2013","Sep 15, 2000
 wide",2h 2m,"DTS, Dolby Digital, SDDS, Dolby SR, Surround",Almost Famous,,,https://www.rottentomatoes.com/m/almost_famous
